slug,title,city,state,service,appliance_type,fuel_type,repair_type,page_type,price_range,symptoms,local_notes,nearby_cities,primary_keyword,secondary_keywords,status
chimney-inspection-phoenix,Chimney Inspection in Phoenix AZ,Phoenix,Arizona,Chimney Inspection,Chimney,Wood,Inspection,service_city,"$99-$199","annual inspection needed;buying a home;smoke issues","Many older wood-burning fireplaces not used for years; real estate transactions common trigger; monsoon damage",Scottsdale;Tempe;Glendale,chimney inspection phoenix,"phoenix chimney inspection;chimney check phoenix az;fireplace inspection phoenix",draft
chimney-cleaning-scottsdale,Chimney Cleaning in Scottsdale AZ,Scottsdale,Arizona,Chimney Cleaning,Chimney,Wood,Cleaning,service_city,"$149-$299","annual cleaning;smoke smell;visible creosote","Scottsdale has many wood-burning fireplaces in older custom homes; creosote buildup a real concern",Phoenix;Paradise Valley,chimney cleaning scottsdale,"scottsdale chimney cleaning;chimney sweep scottsdale az",draft
chimney-repair-phoenix,Chimney Repair in Phoenix AZ,Phoenix,Arizona,Chimney Repair,Chimney,Any,Repair,service_city,"$300-$2,500","cracked crown;damaged flashing;spalling brick;leaking chimney","Monsoon season causes major chimney damage; UV exposure cracks mortar; flat-roof chimney flashing issues common",Scottsdale;Tempe,chimney repair phoenix,"phoenix chimney repair;chimney crown repair phoenix;chimney flashing repair phoenix az",draft
fireplace-wont-light-phoenix,Fireplace Won't Light in Phoenix AZ,Phoenix,Arizona,Gas Fireplace Repair,Fireplace,Gas,Repair,problem_city,"$120-$380","fireplace won't ignite;clicks but no flame;no spark","Common after summer storage; desert dust clogs igniters; seasonal startup issues very common in Oct",Scottsdale;Tempe;Mesa,fireplace won't light phoenix,"gas fireplace not lighting phoenix;fireplace won't ignite phoenix az;fireplace clicking not lighting",draft
pilot-light-wont-stay-on-scottsdale,Pilot Light Won't Stay On in Scottsdale AZ,Scottsdale,Arizona,Gas Fireplace Repair,Fireplace,Gas,Repair,problem_city,"$150-$320","pilot light goes out;won't stay lit;keeps shutting off","Common in older inserts; thermocouple wear is top cause; high-end Scottsdale homes often have older units",Phoenix;Paradise Valley,pilot light won't stay on scottsdale,"gas fireplace pilot light scottsdale;thermocouple replacement scottsdale;fireplace pilot going out scottsdale",draft
gas-smell-fireplace-mesa,Gas Smell from Fireplace in Mesa AZ,Mesa,Arizona,Gas Fireplace Repair,Fireplace,Gas,Repair,problem_city,"$150-$400","gas smell near fireplace;sulfur odor;rotten egg smell","Safety emergency framing important; need fast response messaging; common in older Mesa homes with aging valves",Phoenix;Chandler;Gilbert,gas smell from fireplace mesa,"gas fireplace smell mesa az;fireplace gas leak mesa;smell gas near fireplace",draft
smoke-backing-into-house-phoenix,Smoke Backing Into House in Phoenix AZ,Phoenix,Arizona,Chimney Repair,Chimney,Wood,Repair,problem_city,"$200-$800","smoke coming into room;fireplace smokes inside;draft problems","Cold downdrafts common in Phoenix due to neutral pressure; tight modern homes make it worse; very common complaint",Scottsdale;Tempe,smoke backing into house phoenix,"fireplace smoke coming inside phoenix;chimney draft problems phoenix az;fireplace backdraft phoenix",draft
chimney-leaking-scottsdale,Chimney Leaking in Scottsdale AZ,Scottsdale,Arizona,Chimney Repair,Chimney,Any,Repair,problem_city,"$300-$1,500","water staining;leak after rain;wet firebox","Monsoon season primary driver; cracked crowns and bad flashing most common causes; urgent repair needed",Phoenix;Paradise Valley,chimney leaking scottsdale,"scottsdale chimney leak;water in chimney scottsdale;chimney flashing repair scottsdale az",draft
gas-vs-wood-fireplace-repair-cost,Gas vs Wood Fireplace Repair Cost in Arizona,Arizona,Arizona,Fireplace Repair,Fireplace,Gas;Wood,Repair,comparison,"$99-$2,500","comparing repair options;wants to know cost;deciding between gas and wood","Informational page targeting homeowners researching before calling; great for top-of-funnel Arizona traffic",Phoenix;Scottsdale;Mesa,gas vs wood fireplace repair cost arizona,"fireplace repair cost arizona;gas fireplace vs wood fireplace repair;how much does fireplace repair cost az",draft
fireplace-remodel-cost-arizona,Fireplace Remodel Cost in Arizona,Arizona,Arizona,Fireplace Remodeling,Fireplace,Any,Remodel,cost_page,"$800-$15,000","how much to remodel fireplace;fireplace renovation cost;budget planning","Strong informational intent; pull in readers early in buying journey; rank for cost-based searches statewide",Phoenix;Scottsdale;Mesa;Chandler,fireplace remodel cost arizona,"how much does fireplace remodeling cost arizona;fireplace renovation price az;fireplace makeover cost scottsdale",draft
repair-vs-replace-fireplace-arizona,Repair vs Replace Gas Fireplace in Arizona,Arizona,Arizona,Gas Fireplace Repair,Fireplace,Gas,Repair;Replace,comparison,"$180-$4,500","should I repair or replace my fireplace;fireplace too old to repair;cost to replace vs repair","Decision-stage buyers who need guidance; helps convert leads who are on the fence; great internal linking hub",,repair vs replace gas fireplace arizona,"gas fireplace repair or replace az;when to replace gas fireplace;fireplace replacement cost arizona",draft
gas-fireplace-installation-phoenix,Gas Fireplace Installation in Phoenix AZ,Phoenix,Arizona,Gas Fireplace Installation,Fireplace,Gas,Installation,service_city,"$1,800-$6,000","wants new fireplace installed;gas line extension;venting requirements","Strong demand in new construction and remodels; many Phoenix homeowners converting existing wood fireplaces to gas",Scottsdale;Tempe;Chandler,gas fireplace installation phoenix,"install gas fireplace phoenix az;gas insert installation phoenix;new gas fireplace phoenix",draft
wood-to-gas-conversion-scottsdale,Wood to Gas Fireplace Conversion in Scottsdale AZ,Scottsdale,Arizona,Gas Fireplace Installation,Fireplace,Wood to Gas,Conversion,service_city,"$1,200-$4,000","wants to convert wood fireplace to gas;easier to use;cleaner option","Very popular in Scottsdale luxury market; homeowners want convenience; gas log insert conversions most common",Phoenix;Paradise Valley,wood to gas fireplace conversion scottsdale,"convert wood fireplace to gas scottsdale;gas log insert scottsdale az;wood burning to gas fireplace az",draft
chimney-cap-installation-phoenix,Chimney Cap Installation in Phoenix AZ,Phoenix,Arizona,Chimney Services,Chimney,Any,Installation,service_city,"$150-$450","birds nesting;water intrusion;cap blown off;needs new cap","Monsoon winds blow off caps frequently; bird nesting in uncapped chimneys very common May-Sep in Phoenix",Scottsdale;Mesa;Tempe,chimney cap installation phoenix,"chimney cap phoenix az;install chimney cap phoenix;chimney bird guard phoenix",draft
firebox-repair-phoenix,Firebox Repair in Phoenix AZ,Phoenix,Arizona,Chimney Repair,Fireplace,Any,Repair,service_city,"$250-$1,800","cracked firebox;damaged firebrick;firebox deterioration","UV and heat cycling cause firebox cracking in Arizona; common in older homes with original firebrick",Scottsdale;Mesa;Tempe,firebox repair phoenix,"cracked firebox phoenix az;firebrick repair phoenix;firebox restoration phoenix",draft
gas-fireplace-repair-queen-creek,Gas Fireplace Repair in Queen Creek AZ,Queen Creek,Arizona,Gas Fireplace Repair,Fireplace,Gas,Repair,service_city,"$175-$440","pilot light failure;ignition issues;remote malfunction","Rapidly growing suburb; newer construction with modern inserts; young families; far from city but growing fast",Gilbert;San Tan Valley;Chandler,gas fireplace repair queen creek,"queen creek az fireplace repair;gas fireplace service queen creek;fireplace technician queen creek",draft
